record,sepal length in cm,sepal width in cm,petal length in cm,petal width in cm,species
0,5.1,3.5,1.4,0.2,new-species
1,4.9,3.0,1.4,0.2,new-species
2,4.7,3.2,1.3,0.2,new-species
3,4.6,3.1,1.5,0.2,new-species
4,5.0,3.6,1.4,0.2,new-species
5,5.4,3.9,1.7,0.4,new-species
6,4.6,3.4,1.4,0.3,new-species
7,5.0,3.4,1.5,0.2,new-species
8,4.4,2.9,1.4,0.2,new-species
9,4.9,3.1,1.5,0.1,new-species
10,5.4,3.7,1.5,0.2,new-species
11,4.8,3.4,1.6,0.2,new-species
12,4.8,3.0,1.4,0.1,new-species
13,4.3,3.0,1.1,0.1,new-species
14,5.8,4.0,1.2,0.2,new-species
15,5.7,4.4,1.5,0.4,new-species
16,5.4,3.9,1.3,0.4,new-species
17,5.1,3.5,1.4,0.3,new-species
18,5.7,3.8,1.7,0.3,new-species
19,5.1,3.8,1.5,0.3,new-species
20,5.4,3.4,1.7,0.2,new-species
21,5.1,3.7,1.5,0.4,new-species
22,4.6,3.6,1.0,0.2,new-species
23,5.1,3.3,1.7,0.5,new-species
24,4.8,3.4,1.9,0.2,new-species
25,5.0,3.0,1.6,0.2,new-species
26,5.0,3.4,1.6,0.4,new-species
27,5.2,3.5,1.5,0.2,new-species
28,5.2,3.4,1.4,0.2,new-species
29,4.7,3.2,1.6,0.2,new-species
30,4.8,3.1,1.6,0.2,new-species
31,5.4,3.4,1.5,0.4,new-species
32,5.2,4.1,1.5,0.1,new-species
33,5.5,4.2,1.4,0.2,new-species
34,4.9,3.1,1.5,0.1,new-species
35,5.0,3.2,1.2,0.2,new-species
36,5.5,3.5,1.3,0.2,new-species
37,4.9,3.1,1.5,0.1,new-species
38,4.4,3.0,1.3,0.2,new-species
39,5.1,3.4,1.5,0.2,new-species
40,5.0,3.5,1.3,0.3,new-species
41,4.5,2.3,1.3,0.3,new-species
42,4.4,3.2,1.3,0.2,new-species
43,5.0,3.5,1.6,0.6,new-species
44,5.1,3.8,1.9,0.4,new-species
45,4.8,3.0,1.4,0.3,new-species
46,5.1,3.8,1.6,0.2,new-species
47,4.6,3.2,1.4,0.2,new-species
48,5.3,3.7,1.5,0.2,new-species
49,5.0,3.3,1.4,0.2,new-species
50,7.0,3.2,4.7,1.4,new-species
51,6.4,3.2,4.5,1.5,new-species
52,6.9,3.1,4.9,1.5,new-species
53,5.5,2.3,4.0,1.3,new-species
54,6.5,2.8,4.6,1.5,new-species
55,5.7,2.8,4.5,1.3,new-species
56,6.3,3.3,4.7,1.6,new-species
57,4.9,2.4,3.3,1.0,new-species
58,6.6,2.9,4.6,1.3,new-species
59,5.2,2.7,3.9,1.4,new-species
60,5.0,2.0,3.5,1.0,new-species
61,5.9,3.0,4.2,1.5,new-species
62,6.0,2.2,4.0,1.0,new-species
63,6.1,2.9,4.7,1.4,new-species
64,5.6,2.9,3.6,1.3,new-species
65,6.7,3.1,4.4,1.4,new-species
